==== Log started at [14/11/25 03:23:15] ====
[14/11/25 03:23:15] PartRequestManager initialized.
[14/11/25 03:23:15] PartRequestManager thread started. Polling file every 5000ms.
[14/11/25 03:23:30] GUI added new request: PartRequest[requestID=Task-1, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:35] GUI added new request: PartRequest[requestID=Task-2, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:39] GUI added new request: PartRequest[requestID=Task-3, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:40] GUI added new request: PartRequest[requestID=Task-4, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:42] GUI added new request: PartRequest[requestID=Task-5, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:44] GUI added new request: PartRequest[requestID=Task-6, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:46] GUI added new request: PartRequest[requestID=Task-7, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:48] GUI added new request: PartRequest[requestID=Task-8, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:50] GUI added new request: PartRequest[requestID=Task-9, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=3, status=PENDING]
[14/11/25 03:23:54] GUI added new request: PartRequest[requestID=Task-10, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:23:57] GUI added new request: PartRequest[requestID=Task-11, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
[14/11/25 03:23:59] GUI added new request: PartRequest[requestID=Task-12, part=Part[partID=P1002, name=Air Filter, description=Engine air filter], neededQuantity=1, status=PENDING]
