==== Log started at [14/11/25 13:52:28] ====
[14/11/25 13:52:28] PartRequestManager initialized.
[14/11/25 13:52:28] PartRequestManager thread started. Polling file every 5000ms.
[14/11/25 13:52:30] GUI added new request: PartRequest[requestID=Task-8, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 13:52:34] GUI added new request: PartRequest[requestID=Task-9, part=Part[partID=P1001, name=Oil Filter, description=Standard oil filter], neededQuantity=1, status=PENDING]
[14/11/25 13:52:37] GUI added new request: PartRequest[requestID=Task-10, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 13:52:40] GUI added new request: PartRequest[requestID=Task-11, part=Part[partID=P1005, name=Brake Disc, description=Vented front brake disc], neededQuantity=1, status=PENDING]
[14/11/25 13:52:43] GUI added new request: PartRequest[requestID=Task-12, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:45] GUI added new request: PartRequest[requestID=Task-13, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:47] GUI added new request: PartRequest[requestID=Task-14, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:48] GUI added new request: PartRequest[requestID=Task-15, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:51] GUI added new request: PartRequest[requestID=Task-16, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:52] GUI added new request: PartRequest[requestID=Task-17, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:53] GUI added new request: PartRequest[requestID=Task-18, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:55] GUI added new request: PartRequest[requestID=Task-19, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:56] GUI added new request: PartRequest[requestID=Task-20, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:57] GUI added new request: PartRequest[requestID=Task-21, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:52:59] GUI added new request: PartRequest[requestID=Task-22, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:53:29] GUI added new request: PartRequest[requestID=Task-23, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:53:31] GUI added new request: PartRequest[requestID=Task-24, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:53:32] GUI added new request: PartRequest[requestID=Task-25, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:53:34] GUI added new request: PartRequest[requestID=Task-26, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:53:36] GUI added new request: PartRequest[requestID=Task-27, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:53:38] GUI added new request: PartRequest[requestID=Task-28, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:53:40] GUI added new request: PartRequest[requestID=Task-29, part=Part[partID=P1006, name=Wiper Blade, description=22-inch all-weather], neededQuantity=1, status=PENDING]
[14/11/25 13:54:12] PartRequestManager thread stopped.
